name,serial,src_ip
MAD-CPD-FSW189,FSW248EPTF230189,172.17.132.1
MAD-CPD-FSW190,FSW248EPTF230190,172.17.133.1
MAD-CPD-FSW191,FSW248EPTF230191,172.17.134.1
MAD-CPD-FSW192,FSW248EPTF230192,172.17.135.1
MAD-CPD-FSW193,FSW248EPTF230193,172.17.136.1
MAD-CPD-FSW194,FSW248EPTF230194,172.17.137.1
MAD-CPD-FSW195,FSW248EPTF230195,172.17.138.1
MAD-CPD-FSW196,FSW248EPTF230196,172.17.139.1
MAD-CPD-FSW197,FSW248EPTF230197,172.17.140.1
MAD-CPD-FSW198,FSW248EPTF230198,172.17.141.1
MAD-CPD-FSW199,FSW248EPTF230199,172.17.142.1
MAD-CPD-FSW200,FSW248EPTF230200,172.17.143.1
